Name,Place,Occurrences
Segunda parte,La Mancha,104
Segunda parte,Toboso,101
Primera parte,Toboso,60
Primera parte,La Mancha,50
Primera parte,España,37
Segunda parte,España,36
Segunda parte,Zaragoza,20
Segunda parte,Francia,19
Primera parte,Gaula,19
Primera parte,Argel,15
Segunda parte,Barcelona,15
Segunda parte,Roma,14
Segunda parte,Barataria,12
Primera parte,Goleta,12
Primera parte,Constantinopla,11
Segunda parte,Salamanca,11
Primera parte,Sevilla,11
Segunda parte,Berbería,10
Segunda parte,Candaya,10
Primera parte,Francia,9
Segunda parte,Sierra Morena,9
Primera parte,Andalucía,8
Primera parte,Micomicón,8
Segunda parte,Aragón,7
Primera parte,Berbería,7
Segunda parte,Gaula,7
Primera parte,Grecia,7
Segunda parte,Madrid,7
Primera parte,Mantua,7
Primera parte,Indias,6
Primera parte,Inglaterra,6
Segunda parte,Sevilla,6
Primera parte,Sierra Morena,6
Segunda parte,Troya,6
Segunda parte,Alemania,5
Segunda parte,Argel,5
Primera parte,Castilla,5
Primera parte,Estremadura,5
Primera parte,Roncesvalles,5
Segunda parte,Lagunas de Ruidera,5
Primera parte,Toledo,5
Segunda parte,Úbeda,5
Primera parte,Valencia,5
Segunda parte,África,4
Primera parte,Mallorca,4
Primera parte,Montiel,4
Primera parte,Nápoles,4
Segunda parte,Nápoles,4
Primera parte,Osuna,4
Primera parte,Peña Pobre,4
Primera parte,Portugal,4
Primera parte,Salamanca,4
Segunda parte,Tajo,4
Segunda parte,Tirteafuera,4
Segunda parte,Tordesillas,4
Primera parte,Antequera,3
Primera parte,Arabia,3
Primera parte,Aragón,3
Segunda parte,Arcadia,3
Primera parte,Borgoña,3
Segunda parte,Ebro,3
Segunda parte,Egipto,3
Segunda parte,Flandes,3
Primera parte,Florencia,3
Segunda parte,Gaeta,3
Segunda parte,La Giralda,3
Segunda parte,Guadiana,3
Segunda parte,Indias,3
Primera parte,Italia,3
Primera parte,León,3
Primera parte,Vélez Málaga,3
Primera parte,Orán,3
Segunda parte,Osuna,3
Segunda parte,Portugal,3
Primera parte,Puerto Lápice,3
Primera parte,Roncesvalles,3
Segunda parte,Sansueña,3
Primera parte,Sargel,3
Primera parte,Segovia,3
Segunda parte,Segovia,3
Segunda parte,Sicilia,3
Primera parte,Tetuán,3
Segunda parte,Toledo,3
Segunda parte,Toros de Guisando,3
Primera parte,Túnez,3
Primera parte,África,2
Primera parte,Almodóvar del Campo,2
Segunda parte,Almodóvar del Campo,2
Segunda parte,Andalucía,2
Segunda parte,Arabia,2
Primera parte,Baeza,2
Segunda parte,Bretaña,2
Segunda parte,Caracuel,2
Segunda parte,China,2
Segunda parte,Chipre,2
Segunda parte,Ciudad Real,2
Primera parte,Potro de Córdoba,2
Primera parte,Córdoba,2
Segunda parte,Cuenca,2
Primera parte,Plaza de Zocodover,2
Primera parte,Campos Elíseos,2
Primera parte,Etiopía,2
Primera parte,Europa,2
Primera parte,Ínsula Firme,2
Primera parte,Flandes,2
Primera parte,Gran Bretaña,2
Segunda parte,Grecia,2
Primera parte,Guadiana,2
Primera parte,Guinea,2
Primera parte,Henares,2
Segunda parte,Inglaterra,2
Segunda parte,Italia,2
Segunda parte,Jarama,2
Segunda parte,Mantua,2
Primera parte,Murcia,2
Segunda parte,París,2
Primera parte,Persia,2
Primera parte,Playa de Sanlúcar,2
Primera parte,Roma,2
Primera parte,Segovia,2
Primera parte,Trapobana,2
Segunda parte,Troyas,2
Segunda parte,Valencia,2
Primera parte,Venecia,2
Segunda parte,Aguja de San Pedro,1
Primera parte,Albraca,1
Primera parte,Alcalá,1
Primera parte,Alcaná de Toledo,1
Primera parte,Alcarria,1
